gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
0.0458;0.2595;0.0916;46.3793;-8.9241;1.0838
-0.0305;0.0916;0.0916;-46.1401;-27.6147;1.0867
-0.0611;0.0611;0.1527;-11.1190;-30.9480;1.0892
-0.0153;0.0763;0.0916;-23.6822;-21.4167;1.0915
-0.0153;0.0916;0.0611;-33.4975;-5.7591;1.0943
0.0611;0.1832;0.0153;-30.9585;9.4205;1.0968
-0.0305;0.0611;-0.0305;-5.1648;-12.4771;1.0991
-0.1221;0.0611;0.1069;-19.6795;-19.6795;1.1014
0.0458;0.1679;0.1069;-47.7429;-6.7111;1.1038
0.0611;0.0763;0.0916;-80.9998;8.3517;1.1062
0.0000;-0.0305;0.0916;-43.1781;14.6017;1.1085
0.1679;0.1069;0.1221;-34.2157;-29.7460;1.1110
0.1985;0.0916;0.0611;-33.4618;-44.5681;1.1137
0.0458;0.1832;0.0000;-61.9159;-21.5681;1.1160
-0.1985;0.1527;0.0153;-6.1904;-49.0105;1.1184
0.0458;0.2137;-0.0153;-11.7354;-18.4447;1.1207
0.0153;0.1221;0.0916;-18.0745;-21.2207;1.1236
0.0153;0.1069;0.1069;-6.1904;-49.0105;1.1261
